Phase,Week,Action Item,Platform/Area,Responsible Party,Budget,Success Metric,Notes,Priority
FOUNDATION,Week 1,Select Chinese digital marketing agency,Agency Partners,Restaurant Marketing Director,€0 (research),Proposals from 3 agencies received,"Interview Dragon Trail, Hot Pot Digital, Jing Social",CRITICAL
FOUNDATION,Week 1,Create Nautika Dianping profile,Dianping,Agency + Restaurant Team,€1000,"Profile live, first 5 reviews",Critical gap - Nautika not listed,CRITICAL
FOUNDATION,Week 1,Request WeChat Pay integration quotes,Payment,Finance Team,€0 (research),3 quotes received,Contact Silkpay and local processors,CRITICAL
FOUNDATION,Week 1,Request Alipay integration quotes,Payment,Finance Team,€0 (research),3 quotes received,Contact Silkpay and local processors,CRITICAL
FOUNDATION,Week 1,Commission Chinese menu translation,Translation,Operations Manager,€1500,All 4 menus translated professionally,"Native speaker, not Google Translate",CRITICAL
FOUNDATION,Week 2,Contract selected agency,Agency Partners,Restaurant Marketing Director,€3000-5000/month,Contract signed and kickoff scheduled,Retainer agreement for 6 months minimum,CRITICAL
FOUNDATION,Week 2,Sign WeChat Pay integration,Payment,Finance Team,€500-750 setup,Integration scheduled,Also covers transaction fees 2-3%,CRITICAL
FOUNDATION,Week 2,Sign Alipay integration,Payment,Finance Team,€500-750 setup,Integration scheduled,Also covers transaction fees 2-3%,CRITICAL
FOUNDATION,Week 2,Optimize existing Dianping profiles,Dianping,Agency,€500,Professional photos uploaded for Arsenal/Panorama/Dubravka,Better presentation drives reviews,HIGH
FOUNDATION,Week 3,Install WeChat Pay terminals,Payment,Operations + IT,Included in setup,Working at all 4 locations,Test thoroughly before launch,CRITICAL
FOUNDATION,Week 3,Install Alipay terminals,Payment,Operations + IT,Included in setup,Working at all 4 locations,Test thoroughly before launch,CRITICAL
FOUNDATION,Week 3,Print Chinese menus,Translation,Operations Manager,€400,Menus available at all locations,"Print backups, also digital versions",HIGH
FOUNDATION,Week 3,Implement QR multilingual menus,Technology,Operations + IT,€800-1200,QR codes on all tables,"23+ languages, Chinese prominent",HIGH
FOUNDATION,Week 3,Create payment acceptance signage,Payment,Operations Manager,€200,"Signs at entrance and tables, Chinese language",欢迎使用微信支付/支付宝,MEDIUM
FOUNDATION,Week 4,Launch WeChat Pay,Payment,All Staff,€0,First successful Chinese payment,Train staff on troubleshooting,CRITICAL
FOUNDATION,Week 4,Launch Alipay,Payment,All Staff,€0,First successful Chinese payment,Train staff on troubleshooting,CRITICAL
FOUNDATION,Week 4,Create Xiaohongshu accounts,Xiaohongshu,Agency,€300,Accounts created for all 4 restaurants,Username strategy: english + Chinese,HIGH
FOUNDATION,Week 4,Create WeChat Official Accounts,WeChat,Agency,€400,Accounts verified and active,Apply for verification (blue checkmark),HIGH
FOUNDATION,Week 4,Staff training: Payment systems,Training,HR + Operations,€200,All staff trained on WeChat Pay/Alipay,Include troubleshooting guide,HIGH
FOUNDATION,Week 4,Staff training: Basic Mandarin,Training,HR + Agency,€300,"5-10 essential phrases learned: 你好, 谢谢, etc.",Ongoing reinforcement needed,MEDIUM

VISIBILITY,Week 5,Post initial Xiaohongshu content,Xiaohongshu,Agency + Marketing,€500,10-15 posts across 4 accounts,High-quality photos essential,HIGH
VISIBILITY,Week 5,Launch WeChat Official Account content,WeChat,Agency,€300,First 3 articles published,Welcome message + 2 restaurant features,HIGH
VISIBILITY,Week 5,Research mid-tier KOLs,Influencer Marketing,Agency,€0 (included in retainer),Shortlist of 5-8 KOLs,"Target: 100K-500K followers, food/travel focus",HIGH
VISIBILITY,Week 6,Optimize Nautika Dianping profile,Dianping,Agency,€500,Professional photos and description,Premium positioning ¥500-800pp,CRITICAL
VISIBILITY,Week 6,Create Trip.com restaurant listings,Ctrip/Trip.com,Agency,€800,All 4 restaurants listed,Start with basic free listings,HIGH
VISIBILITY,Week 6,Select 2-3 KOLs for fam trip,Influencer Marketing,Agency + Marketing Director,€0,Contracts signed with selected KOLs,Negotiate deliverables clearly,HIGH
VISIBILITY,Week 7,Optimize Trip.com listings,Ctrip/Trip.com,Agency,€700,"Premium photos, Chinese descriptions",Highlight view and location,HIGH
VISIBILITY,Week 7,Plan KOL fam trip logistics,Influencer Marketing,Operations + Agency,€1000,Detailed itinerary created,"2-3 days in Dubrovnik, visit all 4 restaurants",HIGH
VISIBILITY,Week 8,Execute KOL fam trip,Influencer Marketing,All Departments,€5000-8000,"2-3 KOLs visit, content created","Flights, accommodation, dining, experiences",CRITICAL
VISIBILITY,Week 8,Facilitate KOL content creation,Influencer Marketing,Marketing + Operations,Included,50+ photos and 10+ videos captured,Golden hour timing essential,CRITICAL
VISIBILITY,Week 9,KOL content goes live,Influencer Marketing,KOLs + Agency,Included,"Posts on Weibo, XHS, Douyin",Amplify through restaurant accounts,CRITICAL
VISIBILITY,Week 9,Create Douyin accounts,Douyin,Agency,€200,Accounts created for all 4 restaurants,Short video platform,HIGH
VISIBILITY,Week 9,Produce initial Douyin videos,Douyin,Agency + Marketing,€2000,3-5 professional videos,"15-60 seconds, food/view focus",HIGH
VISIBILITY,Week 10,Amplify KOL content,Influencer Marketing,Agency,€500,Share and engage across all platforms,Thank KOLs publicly in Chinese,HIGH
VISIBILITY,Week 10,Post Douyin videos,Douyin,Agency,€300,Videos live with hashtags,Monitor engagement and comments,MEDIUM
VISIBILITY,Week 10,Analyze KOL campaign results,Analytics,Agency,Included,Report on reach and engagement,Impressions target: 500K-2M,HIGH
VISIBILITY,Week 11,Launch Weibo accounts,Weibo,Agency,€200,Accounts created for all 4 restaurants,Cross-post from other platforms,MEDIUM
VISIBILITY,Week 11,Run Douyin in-feed ads,Douyin,Agency,€1500,Video ads running with targeting,Target: Chinese tourists planning Europe travel,MEDIUM
VISIBILITY,Week 12,Create aesthetic improvements,Restaurant Operations,Operations Manager,€1000-2000,Photo spots designated with good lighting,"Especially Panorama sunset, Arsenal heritage",HIGH
VISIBILITY,Week 12,First analytics review,Analytics,Agency + Marketing Director,Included,"Dashboard showing: platforms, guests, revenue",Track Chinese guest count manually,CRITICAL

SCALE,Week 13,Research top-tier KOLs,Influencer Marketing,Agency,Included,Shortlist of 3-5 top KOLs,"Target: 1M+ followers, Molly, Nono, Mia Zhang type",HIGH
SCALE,Week 13,Begin WeChat Mini Program development,WeChat,Agency + Developer,€3000-4000,Development started,"Features: Menu, reservation, payment, loyalty",HIGH
SCALE,Week 14,Create Fliggy merchant accounts,Fliggy,Agency,€500,Accounts created,Alibaba ecosystem integration,MEDIUM
SCALE,Week 14,Develop group dining packages,Tour Operators,Operations + Marketing,€500,"Set menus created: ¥250-300pp, family-style",For tour operator partnerships,MEDIUM
SCALE,Week 15,Create B2B presentation materials,Tour Operators,Agency,€1000,Chinese-language pitch deck and menu packets,For CITS and other operators,MEDIUM
SCALE,Week 15,List restaurants on Fliggy,Fliggy,Agency,€500,"All 4 restaurants visible, photos uploaded",Special packages for Fliggy users,MEDIUM
SCALE,Week 16,Select top-tier KOL,Influencer Marketing,Agency + Marketing Director,€10000-15000,Contract signed for major campaign,"1M+ follower, multi-platform deliverables",CRITICAL
SCALE,Week 16,Create Mafengwo listings,Mafengwo,Agency,€300,Restaurant profiles created,User-generated content platform,LOW
SCALE,Week 17,Launch Weibo campaigns,Weibo,Agency,€2000,Photo/video campaigns with hashtags,Cross-promote KOL content,MEDIUM
SCALE,Week 18,Plan top-tier KOL visit,Influencer Marketing,Operations + Agency,€2000,VIP itinerary created,Premium experiences for premium KOL,HIGH
SCALE,Week 19,WeChat Mini Program beta testing,WeChat,Agency + IT,Included,Testing with internal team and Chinese contacts,Fix bugs before public launch,HIGH
SCALE,Week 20,Execute top-tier KOL campaign,Influencer Marketing,All Departments,€12000-15000,Major KOL visit and content creation,"Expect 2M+ impressions, significant visibility",CRITICAL
SCALE,Week 21,Launch WeChat Mini Program,WeChat,Agency,€500 launch campaign,Public launch with promotion,Enable reservations and menu browsing,HIGH
SCALE,Week 21,Top-tier KOL content goes live,Influencer Marketing,KOL + Agency,Included,Multi-platform content launch,"Weibo, XHS, Douyin simultaneously",CRITICAL
SCALE,Week 22,Run Xiaohongshu paid campaigns,Xiaohongshu,Agency,€3000,Sponsored posts and KOL amplification,Photo-focused platform matches Dubrovnik,HIGH
SCALE,Week 22,Engage with UGC on all platforms,Social Media,Agency,€500/month ongoing,Respond to all Chinese comments and posts,Build community and trust,HIGH
SCALE,Week 23,Research China travel trade shows,Tour Operators,Agency + Marketing Director,€0,Select 1-2 shows for attendance,"ITB China, COTTM, or virtual options",MEDIUM
SCALE,Week 24,Mid-program performance review,Analytics,Agency + Marketing Director + Finance,Included,Comprehensive report on all metrics,"Guest count, revenue, ROI by channel",CRITICAL

OPTIMIZE,Week 25,Identify top-performing channels,Analytics,Agency,Included,Ranked list of channels by ROI,Scale what works,HIGH
OPTIMIZE,Week 25,Create tour operator outreach list,Tour Operators,Agency,€200,Contact list: CITS + 10 other major operators,Prioritize those with Croatia programs,MEDIUM
OPTIMIZE,Week 26,Cut/reduce underperforming channels,Budget Optimization,Marketing Director,€0,Reallocate budget to high-ROI channels,Data-driven decision making,HIGH
OPTIMIZE,Week 26,Pitch tour operators,Tour Operators,Marketing Director + Agency,€1000,Meetings scheduled with 3-5 operators,Virtual meetings or in-person if budget allows,MEDIUM
OPTIMIZE,Week 27,Attend virtual trade show,Tour Operators,Marketing Director,€500-1500,Meetings with 10+ Chinese operators,Less expensive than in-person,MEDIUM
OPTIMIZE,Week 27,Scale high-ROI platforms,Budget Optimization,Agency,Variable,"2x budget for top 2-3 channels, e.g., if XHS performing well",Double down on winners,HIGH
OPTIMIZE,Week 28,Refine messaging based on data,Strategy,Agency,Included,Updated positioning and content strategy,What resonates with Chinese audience?,MEDIUM
OPTIMIZE,Week 28,Negotiate tour operator partnerships,Tour Operators,Marketing Director,€0,1-2 partnership agreements signed,10-15% commission structure,MEDIUM
OPTIMIZE,Week 29,Launch Q4 campaigns,Seasonal Marketing,Agency,€2000,Holiday and Chinese New Year promotions,Chinese New Year (Jan-Feb) is key,MEDIUM
OPTIMIZE,Week 30,Develop loyalty program concept,Customer Retention,Agency + Operations,€1000,Program design for repeat Chinese visitors,WeChat Mini Program integration,MEDIUM
OPTIMIZE,Week 31,Plan Year 2 strategy,Strategic Planning,Agency + Marketing Director,Included,Preliminary Year 2 plan and budget,Based on Year 1 learnings,HIGH
OPTIMIZE,Week 32,Launch loyalty program pilot,Customer Retention,Operations + IT,€500,Test with first 20-30 Chinese guests,Collect feedback and iterate,MEDIUM
OPTIMIZE,Week 33,Negotiate annual contracts,Budget Optimization,Marketing Director,€0,"Reduced rates for Year 2 commitments, 15-20% discount",Lock in pricing,MEDIUM
OPTIMIZE,Week 34,Continue seasonal campaigns,Seasonal Marketing,Agency,€1500,Ongoing promotions through high season,Adapt to booking patterns,MEDIUM
OPTIMIZE,Week 35,Compile Year 1 case studies,Marketing,Agency,€500,Success stories and testimonials,"Use for Year 2 marketing, B2B pitches",MEDIUM
OPTIMIZE,Week 36,Year-end analytics report,Analytics,Agency,Included,Complete Year 1 performance analysis,"All metrics: guests, revenue, ROI, platform performance",CRITICAL
OPTIMIZE,Week 37,ROI calculation by channel,Analytics,Agency + Finance,Included,Detailed ROI for each platform and campaign,Inform Year 2 budget allocation,CRITICAL
OPTIMIZE,Week 38,Finalize Year 2 strategy,Strategic Planning,Marketing Director + Agency,€0,Approved Year 2 plan and budget,"Scale, optimize, or pivot based on Year 1",HIGH
OPTIMIZE,Week 39,Present results to stakeholders,Reporting,Marketing Director,€0,Executive presentation of Year 1 results,Celebrate wins and learn from misses,HIGH
OPTIMIZE,Week 40,Prepare Year 2 kickoff,Planning,All Departments,€0,Year 2 objectives and KPIs set,Continue momentum into Year 2,MEDIUM

ONGOING,Weekly,Monitor Dianping reviews,Reputation Management,Agency,Included in retainer,Respond to all reviews within 48 hours,In Chinese with cultural sensitivity,HIGH
ONGOING,Weekly,Monitor Xiaohongshu mentions,Social Listening,Agency,Included in retainer,Engage with all mentions and tags,Like and comment in Chinese,HIGH
ONGOING,Weekly,Monitor Douyin comments,Social Listening,Agency,Included in retainer,Respond to all comments,Build community engagement,MEDIUM
ONGOING,Weekly,Monitor Weibo mentions,Social Listening,Agency,Included in retainer,Engage with shares and mentions,Amplify positive content,MEDIUM
ONGOING,Weekly,Post WeChat content,Content Marketing,Agency,Included in retainer,1-2 articles per week minimum,Mix of promotional and educational,HIGH
ONGOING,Weekly,Post Xiaohongshu content,Content Marketing,Agency,Included in retainer,2-3 posts per restaurant per week,High-quality photos essential,CRITICAL
ONGOING,Weekly,Track Chinese guest visits,Analytics,Restaurant Staff,€0,POS system tracking by nationality,Manual tracking if needed,CRITICAL
ONGOING,Weekly,Monitor payment system performance,Technology,IT + Finance,€0,"Ensure WeChat Pay, Alipay working smoothly",Fix issues immediately,HIGH
ONGOING,Bi-weekly,Douyin video content,Content Marketing,Agency,€500-1000 per video,1-2 new videos per month,Short-form video remains fresh,HIGH
ONGOING,Bi-weekly,Performance dashboard review,Analytics,Marketing Director + Agency,Included in retainer,Review all KPIs and trends,Course correct quickly,HIGH
ONGOING,Monthly,Chinese guest experience survey,Customer Feedback,Operations,€0,Survey 5-10 Chinese guests monthly,WeChat-based survey tool,MEDIUM
ONGOING,Monthly,Review and update Chinese menus,Menu Management,Operations + Translator,€100-200,Seasonal menu changes translated,Keep current always,MEDIUM
ONGOING,Monthly,Platform algorithm updates check,Platform Monitoring,Agency,Included in retainer,Stay informed on platform changes,Adapt strategy as needed,MEDIUM
ONGOING,Monthly,Competitor monitoring,Competitive Intelligence,Agency,Included in retainer,Track other restaurants' Chinese presence,Learn and differentiate,MEDIUM
ONGOING,Monthly,Financial reporting,Finance,Finance + Agency,Included in retainer,"Revenue from Chinese guests, ROI by channel",Inform budget decisions,CRITICAL
ONGOING,Quarterly,KOL relationship maintenance,Influencer Marketing,Agency,€1000-2000/quarter,Stay in touch with past KOL partners,Potential for ongoing collaboration,MEDIUM
ONGOING,Quarterly,Major platform campaigns,Paid Advertising,Agency,€2000-4000/quarter,"Larger campaigns on XHS, Douyin, WeChat",Seasonal or event-based,HIGH
ONGOING,Quarterly,Tour operator check-ins,B2B Relationships,Marketing Director,€0,Update partners on offerings and availability,Maintain relationships,MEDIUM
ONGOING,Quarterly,Strategic review,Strategic Planning,Marketing Director + Agency,Included in retainer,Assess progress against goals and adjust,Stay agile and responsive,HIGH
ONGOING,Annually,Trade show attendance,B2B Marketing,Marketing Director,€3000-5000,Attend 1-2 major China travel trade shows,ITB China or COTTM in-person,MEDIUM
ONGOING,Annually,Major KOL event,Influencer Marketing,All Departments,€15000-25000,Annual influencer event in Dubrovnik,3-5 KOLs simultaneously for impact,HIGH
