Phase,Week,Action Item,Platform/Area,Responsible Party,Budget,Success Metric,Notes,Priority
ONGOING,Annually,Contract renewals,Vendor Management,Marketing Director + Finance,€0,Renew agency and platform contracts,Negotiate based on performance,HIGH
ONGOING,Annually,Chinese market strategy refresh,Strategic Planning,Marketing Director + Agency,€2000-3000,Update strategy based on market changes,China market evolves rapidly,HIGH

TOOLS_SETUP,Month 1,Select analytics platform,Technology,IT + Marketing,€500-1000/year,"Google Analytics or alternative if accessible in China, plus Chinese platform analytics",Track all traffic and conversions,HIGH
TOOLS_SETUP,Month 1,Set up social listening tools,Technology,Agency,Included or €300/month,"Monitor mentions across Chinese platforms: Weibo, XHS, Douyin, Dianping",Sentiment analysis and trending,MEDIUM
TOOLS_SETUP,Month 1,Configure POS tracking,Technology,IT + Finance,€0,"Add nationality field to reservations and POS, track Chinese guests separately",Critical for ROI measurement,CRITICAL
TOOLS_SETUP,Month 2,Implement WeChat CRM,Technology,Agency + IT,€500-1000 setup,Capture WeChat contacts for ongoing marketing,Build owned audience,MEDIUM
TOOLS_SETUP,Month 2,Set up translation workflow,Operations,Operations + Agency,€0 process setup,Process for ongoing Chinese content translation,Quality control essential,HIGH
TOOLS_SETUP,Month 3,Create content calendar,Marketing,Agency,Included,12-month calendar for all Chinese platforms,Ensures consistent posting,HIGH
TOOLS_SETUP,Month 3,Develop reporting templates,Analytics,Agency + Finance,Included,Standardized monthly and quarterly reports,Consistent metrics tracking,HIGH

KOL_CONTACTS,Research,Molly 猫力 (Weibo),Influencer Database,Agency,N/A,6.6M followers - Top travel blogger,Premium rate €10-15K,Reference
KOL_CONTACTS,Research,Nono 抬头看风景 (Weibo),Influencer Database,Agency,N/A,5.2M followers - Photography focus,Premium rate €8-12K,Reference
KOL_CONTACTS,Research,Xiao Mo (Weibo),Influencer Database,Agency,N/A,525K followers - Food & travel couple,Mid-tier rate €5-8K,Reference
KOL_CONTACTS,Research,Mia Zhang (Multi-platform),Influencer Database,Agency,N/A,Luxury travel + photography,Premium rate €10-15K,Reference
KOL_CONTACTS,Research,Fan Yichen (Multi-platform),Influencer Database,Agency,N/A,Culinary travel focus,Mid-tier rate €6-10K,Reference
KOL_CONTACTS,Research,Mid-tier food bloggers (Douyin),Influencer Database,Agency,N/A,100K-500K followers - Various,Rate €2-5K each,Reference

AGENCY_CONTACTS,Selection,Dragon Trail International,Agency Options,Marketing Director,€3000-6000/month,Tourism specialist - TOP RECOMMENDATION,www.dragontrail.com,Reference
AGENCY_CONTACTS,Selection,Hot Pot Digital,Agency Options,Marketing Director,€2500-5000/month,F&B industry specialist,Search online for contact,Reference
AGENCY_CONTACTS,Selection,Jing Social,Agency Options,Marketing Director,€4000-7000/month,Premium brands - Good for Nautika,www.jingsocial.com,Reference
AGENCY_CONTACTS,Selection,HiCom Asia / Eternityx,Agency Options,Marketing Director,€2000-4000/month + KOL fees,KOL specialists,www.hicom-asia.com,Reference
AGENCY_CONTACTS,Selection,Sekkei Digital Group,Agency Options,Marketing Director,€2000-4000/month,Douyin/Xiaohongshu specialists,Search online for contact,Reference

PAYMENT_PARTNERS,Selection,Silkpay,Payment Integration,Finance Team,Setup + 2-3% transaction,WeChat Pay + Alipay for Europe,www.silkpay.com,Reference
PAYMENT_PARTNERS,Selection,Europass,Payment Integration,Finance Team,Setup + fees vary,Travel tech including payment,europasschina.com,Reference
PAYMENT_PARTNERS,Selection,Local payment processors,Payment Integration,Finance Team,Compare quotes,Check Croatia-based options with Chinese capability,Research local market,Reference

TRANSLATION_SERVICES,Selection,Professional translation agency,Translation,Operations,€0.10-0.20 per word,Native speaker translation services,Avoid Google Translate,Reference
TRANSLATION_SERVICES,Selection,Cultural consultant,Translation,Agency can provide,Included in retainer or €100/hour,Review for cultural appropriateness,Beyond literal translation,Reference

PLATFORM_ACCOUNTS,Reference,Dianping (大众点评),Platform Details,N/A,Free + optional advertising,Review platform - like Yelp,www.dianping.com,Reference
PLATFORM_ACCOUNTS,Reference,Xiaohongshu (小红书),Platform Details,N/A,Free + optional advertising,Photo sharing - like Instagram,xiaohongshu.com (RED),Reference
PLATFORM_ACCOUNTS,Reference,WeChat (微信),Platform Details,N/A,Free accounts + Mini Program dev cost,Messaging + ecosystem,weixin.qq.com,Reference
PLATFORM_ACCOUNTS,Reference,Douyin (抖音),Platform Details,N/A,Free + optional advertising,Short video - Chinese TikTok,douyin.com,Reference
PLATFORM_ACCOUNTS,Reference,Weibo (微博),Platform Details,N/A,Free + optional advertising,Microblogging - like Twitter,weibo.com,Reference
PLATFORM_ACCOUNTS,Reference,Ctrip / Trip.com (携程),Platform Details,N/A,Free basic + premium listings,Largest Chinese OTA,trip.com,Reference
PLATFORM_ACCOUNTS,Reference,Fliggy (飞猪),Platform Details,N/A,Merchant setup + commissions,Alibaba travel platform,fliggy.com,Reference
PLATFORM_ACCOUNTS,Reference,Mafengwo (蚂蜂窝),Platform Details,N/A,Free + optional featured listings,Travel planning and reviews,mafengwo.cn,Reference

SUCCESS_METRICS,KPI,Chinese guest count per month,Measurement,Operations + Finance,Track in POS,Target: 15-20 by Month 12,"Start: 2-5, grow steadily",CRITICAL
SUCCESS_METRICS,KPI,Average spend per Chinese guest,Measurement,Finance,Track in POS,Target: €300-350,"Compare to overall average €180-220, should be 60%+ higher",CRITICAL
SUCCESS_METRICS,KPI,Chinese revenue as % of total,Measurement,Finance,Calculate monthly,Target: 2-3% by Month 12,Starting from near 0%,HIGH
SUCCESS_METRICS,KPI,Dianping reviews - Panorama,Measurement,Agency,Monitor weekly,Target: Grow 224 → 300+,Maintain #1 position,HIGH
SUCCESS_METRICS,KPI,Dianping reviews - Arsenal,Measurement,Agency,Monitor weekly,Target: Grow 189 → 250+,Maintain #2 position,HIGH
SUCCESS_METRICS,KPI,Dianping reviews - Dubravka,Measurement,Agency,Monitor weekly,Target: Grow 153 → 200+,Improve positioning,MEDIUM
SUCCESS_METRICS,KPI,Dianping reviews - Nautika,Measurement,Agency,Monitor weekly,Target: 0 → 30-50 reviews,NEW profile success metric,CRITICAL
SUCCESS_METRICS,KPI,Xiaohongshu followers (total),Measurement,Agency,Track weekly,Target: 2000-3000 by Month 12,Across all 4 accounts,HIGH
SUCCESS_METRICS,KPI,Xiaohongshu engagement rate,Measurement,Agency,Track weekly,Target: 3-5% average,"Likes, comments, shares per post",HIGH
SUCCESS_METRICS,KPI,Douyin followers (total),Measurement,Agency,Track weekly,Target: 1000-2000 by Month 12,Video platform growth slower,MEDIUM
SUCCESS_METRICS,KPI,Douyin video views,Measurement,Agency,Per video,Target: 10K-50K per video,Viral potential exists,MEDIUM
SUCCESS_METRICS,KPI,WeChat Official Account followers,Measurement,Agency,Track weekly,Target: 1000-1500 by Month 12,Quality over quantity,MEDIUM
SUCCESS_METRICS,KPI,WeChat Mini Program users,Measurement,Agency + IT,Track in app,Target: 200-300 by Month 12,Reservations and menu views,MEDIUM
SUCCESS_METRICS,KPI,Weibo followers (total),Measurement,Agency,Track weekly,Target: 1500-2500 by Month 12,Across all 4 accounts,MEDIUM
SUCCESS_METRICS,KPI,KOL campaign impressions,Measurement,Agency,Per campaign,Target: 500K-2M per mid-tier; 2M-5M per top-tier,Reach metric,HIGH
SUCCESS_METRICS,KPI,KOL campaign engagement,Measurement,Agency,Per campaign,Target: 20K-100K engagements,"Likes, comments, shares",HIGH
SUCCESS_METRICS,KPI,Cost per Chinese guest acquired,Measurement,Finance + Agency,Calculate monthly,Target: €200-350,"Total investment ÷ Chinese guests, improve over time",CRITICAL
SUCCESS_METRICS,KPI,Return on Ad Spend (ROAS),Measurement,Finance + Agency,Calculate quarterly,"Target: 1.5-2.5x by Month 12",Ad spend → Revenue ratio,CRITICAL
SUCCESS_METRICS,KPI,Review sentiment score,Measurement,Agency,Monthly analysis,Target: 85%+ positive,Sentiment analysis of Chinese reviews,HIGH
SUCCESS_METRICS,KPI,Repeat Chinese visitor rate,Measurement,Operations,Track reservations,Target: 10-15% by end of Year 1,Build loyalty,MEDIUM
SUCCESS_METRICS,KPI,WeChat Pay/Alipay transaction volume,Measurement,Finance,Monthly,Target: 30-50 transactions by Month 12,Payment adoption metric,MEDIUM
SUCCESS_METRICS,KPI,Social media mentions (UGC),Measurement,Agency,Weekly monitoring,Target: 50-100 mentions by Month 12,"User posts tagging restaurants, organic reach",HIGH
SUCCESS_METRICS,KPI,Booking source attribution,Measurement,Operations,Ask at reservation,Track which platform drove booking,"Where did you hear about us?, in Chinese",HIGH
SUCCESS_METRICS,KPI,Tour operator bookings,Measurement,Operations,Track separately,Target: 20-30 guests via B2B by Month 12,Group dining partnerships,MEDIUM

CULTURAL_TRAINING,Topic,Chinese dining expectations,Staff Training,HR + Agency,€200,Staff understand lively atmosphere is normal,Not quiet like Western fine dining,HIGH
CULTURAL_TRAINING,Topic,Photography assistance,Staff Training,HR + Operations,€100,Staff trained to help guests take photos,Offer to take group photos,HIGH
CULTURAL_TRAINING,Topic,WeChat Pay/Alipay troubleshooting,Staff Training,HR + Finance + IT,€200,Staff can solve common payment issues,Reduce friction at checkout,CRITICAL
CULTURAL_TRAINING,Topic,Basic Mandarin phrases,Staff Training,HR + Agency,€300,"你好 (hello), 谢谢 (thank you), 买单 (check please), etc.",5-10 essential phrases,HIGH
CULTURAL_TRAINING,Topic,Chinese menu knowledge,Staff Training,HR + Operations,€200,Staff can navigate Chinese menu with guests,Point and explain using Chinese menu,MEDIUM
CULTURAL_TRAINING,Topic,Hot water/tea service,Staff Training,HR + Operations,€100,Always offer hot water option,Chinese prefer hot water to cold,MEDIUM
CULTURAL_TRAINING,Topic,Group payment dynamics,Staff Training,HR + Finance,€100,Understand group leader pays (one check),Don't assume split checks,MEDIUM
CULTURAL_TRAINING,Topic,Cultural sensitivity,Staff Training,HR + Agency,€500,Broader cultural awareness training,Respect and understanding,HIGH

RISK_MITIGATION,Risk,Budget overruns,Financial Control,Finance + Marketing Director,€0,Monthly budget tracking and alerts,Stop spending if hitting limits,HIGH
RISK_MITIGATION,Risk,Lower ROI than expected,Performance,Marketing Director + Agency,€0,Go/no-go decision points at Month 3 and Month 6,Cut losses if not working,CRITICAL
RISK_MITIGATION,Risk,Platform account issues,Technical,Agency + IT,€500 contingency,Backup contacts and technical support,Chinese platforms can be challenging to navigate,MEDIUM
RISK_MITIGATION,Risk,Translation errors,Quality Control,Translator + Cultural Consultant,€500 for reviews,Native speaker review of all content,Poor translation damages credibility,HIGH
RISK_MITIGATION,Risk,Negative reviews,Reputation,Agency + Operations,Included in retainer,Rapid response protocol in Chinese,Address issues within 24-48 hours,HIGH
RISK_MITIGATION,Risk,Payment system downtime,Technical,IT + Payment Partner,Included in support,Backup payment methods available,Always have cash option too,MEDIUM
RISK_MITIGATION,Risk,KOL underperformance,Influencer,Agency,€0,Performance clauses in contracts,Minimum impressions/engagement guaranteed,MEDIUM
RISK_MITIGATION,Risk,Market volatility (COVID etc),External,Marketing Director,€0,Flexible contracts with exit clauses,Don't lock in long-term if uncertain,MEDIUM
RISK_MITIGATION,Risk,Competition copies strategy,Competitive,Marketing Director + Agency,€0,Build relationships and differentiation quickly,First-mover advantage is temporary,LOW

CONTINGENCY,Scenario,If Month 3 results below expectations,Decision Point,Marketing Director + Finance,€0,"Reassess: Cut budget 50%, focus on top 2 channels only",Reduce risk exposure,CRITICAL
CONTINGENCY,Scenario,If Month 6 results below expectations,Decision Point,Marketing Director + Finance,€0,Pause or pivot: Different platforms or approach,Major reassessment needed,CRITICAL
CONTINGENCY,Scenario,If results exceed expectations,Decision Point,Marketing Director + Finance,Variable,Scale up: Increase budget 50-100% for high-ROI channels,Double down on winners,HIGH
CONTINGENCY,Scenario,If payment systems fail,Backup Plan,Operations + IT,€0,Manual process: Staff note WeChat ID and process later,Temporary workaround,MEDIUM
CONTINGENCY,Scenario,If agency underperforms,Backup Plan,Marketing Director,€0,Switch agencies: Have backup agency identified,Performance reviews at Month 3 and 6,MEDIUM
CONTINGENCY,Scenario,If KOL campaign disappoints,Backup Plan,Agency,€500-1000,Boost with paid ads to compensate reach,Amplification strategy,MEDIUM
CONTINGENCY,Scenario,If Chinese market recovery stalls,Strategic,Marketing Director,€0,Reduce Year 2 investment accordingly,Market-dependent strategy,MEDIUM

QUICK_WINS,Opportunity,Respond to all existing Dianping reviews,Immediate Action,Agency,€500,"566 total reviews across 3 restaurants, show we care",Build trust and engagement,HIGH
QUICK_WINS,Opportunity,Add Chinese welcome sign,Immediate Action,Operations,€50,"欢迎光临 (Welcome) at entrance, shows cultural respect",Simple but impactful,MEDIUM
QUICK_WINS,Opportunity,Create photo corner at Panorama,Immediate Action,Operations,€200,"Sunset view photo spot with good lighting, drives UGC",Leverage view asset,HIGH
QUICK_WINS,Opportunity,Encourage staff to learn one phrase,Immediate Action,HR,€0,"Everyone learns 欢迎 (welcome), creates positive impression",Cultural bridge,MEDIUM
QUICK_WINS,Opportunity,Create shareable menu item,Immediate Action,Chef + Marketing,€200,"Photogenic signature dish, designed for Instagram/XHS",Photo-worthy food,HIGH
QUICK_WINS,Opportunity,Partner with nearby hotels,Immediate Action,Sales Director,€0,Cross-promotion with hotels hosting Chinese guests,Quick distribution channel,MEDIUM
QUICK_WINS,Opportunity,Contact Croatian Tourism Board,Immediate Action,Marketing Director,€0,Join Chinese market initiatives and get support,Leverage existing efforts,MEDIUM
QUICK_WINS,Opportunity,Set up WeChat QR code for contact,Immediate Action,IT + Marketing,€50,Guests can add restaurant on WeChat easily,Build owned audience,MEDIUM

LONG_TERM,Goal,Become #1 Dubrovnik restaurant group for Chinese tourists,Strategic Objective,All Departments,Year 1-3 investment,Market leadership position,"Known as best choice, referenced by guides",CRITICAL
LONG_TERM,Goal,500+ Chinese guests per year sustained,Revenue Target,All Departments,Ongoing investment,Significant revenue contribution,"At €300 avg = €150K annual revenue from Chinese segment",HIGH
LONG_TERM,Goal,Chinese market manager dedicated role,Team Building,HR + Finance,€30-40K/year salary,Full-time Chinese market specialist hired,In-house expertise,HIGH
LONG_TERM,Goal,Annual KOL event in Dubrovnik,Marketing Program,Marketing + Operations,€15-25K/year,3-5 KOLs invited annually for major content creation,Sustained visibility,MEDIUM
LONG_TERM,Goal,Partnership with Air China or similar,Distribution,Sales Director + Agency,€0 (revenue share model),Direct airline partnership for promotion,Premium distribution channel,MEDIUM
LONG_TERM,Goal,Chinese language menu updates quarterly,Operations Excellence,Operations + Translator,€200/quarter,Always current with seasonal offerings,Operational standard,MEDIUM
LONG_TERM,Goal,Mandarin-speaking staff at each location,Team Building,HR,€25-35K/year per person,4 Chinese-speaking staff members (1 per restaurant),Service excellence,MEDIUM
LONG_TERM,Goal,WeChat loyalty program with 1000+ members,Customer Retention,Marketing + IT,€2-3K/year program cost,Active database for direct marketing,Owned audience asset,MEDIUM
LONG_TERM,Goal,Featured in Chinese travel guides,PR & Media,Agency,€2-5K/year for PR,Listed in major Chinese Dubrovnik/Croatia guides,Credibility and discovery,LOW
LONG_TERM,Goal,100+ 5-star Dianping reviews per restaurant,Reputation,All Departments,Ongoing excellence,Total 400+ across portfolio,Market dominance signal,HIGH
