country_normalized,rating,rating_value,rating_service,rating_food,rating_atmosphere,count
South Korea,4.923076923076923,4.75,5.0,4.25,5.0,13
Czech Republic,4.882352941176471,4.428571428571429,4.714285714285714,4.428571428571429,5.0,17
Croatia,4.850574712643678,4.604166666666667,4.645833333333333,4.680851063829787,4.714285714285714,174
Unknown,4.836531627576404,4.654934965570008,4.882800608828006,4.817972350230415,4.934240362811791,4221
Slovenia,4.8,4.333333333333333,5.0,4.666666666666667,,10
Austria,4.791666666666667,4.5,4.857142857142857,4.857142857142857,5.0,24
Serbia,4.785714285714286,5.0,5.0,5.0,5.0,14
United States,4.769230769230769,4.583333333333333,4.75,4.666666666666667,5.0,26
Germany,4.7625,4.545454545454546,4.7727272727272725,4.619047619047619,5.0,80
United Arab Emirates,4.738095238095238,4.833333333333333,4.666666666666667,5.0,5.0,42
USA,4.73404255319149,4.422174840085288,4.7301255230125525,4.646808510638298,4.89344262295082,1316
UK,4.7272727272727275,4.625,5.0,4.875,5.0,22
District of Columbia,4.714285714285714,4.235294117647059,4.777777777777778,4.666666666666667,,28
Romania,4.703703703703703,4.833333333333333,5.0,5.0,5.0,27
TÃ¼rkiye,4.7,5.0,4.5,4.5,5.0,10
Malaysia,4.7,4.0,5.0,5.0,,10
England,4.6875,4.5,5.0,4.75,,16
Belgium,4.6875,4.461538461538462,4.846153846153846,4.615384615384615,4.6,48
Mexico,4.6875,4.75,5.0,4.75,5.0,16
United Kingdom,4.684504557483093,4.347477064220183,4.738339021615472,4.631887456037514,4.825301204819277,3401
SP,4.666666666666667,4.5,4.75,4.5,4.666666666666667,18
Norway,4.666666666666667,4.3076923076923075,4.923076923076923,4.230769230769231,5.0,84
Lebanon,4.666666666666667,4.333333333333333,4.666666666666667,4.333333333333333,,24
Australia,4.651757188498403,4.329268292682927,4.746987951807229,4.6125,5.0,313
Japan,4.642857142857143,4.0,4.0,4.333333333333333,4.5,14
China,4.625,4.461538461538462,4.857142857142857,4.642857142857143,5.0,48
Portugal,4.617647058823529,4.875,5.0,4.75,5.0,34
Canada,4.6138613861386135,4.5,4.666666666666667,4.48051948051948,4.888888888888889,202
Italy,4.611111111111111,4.214285714285714,4.785714285714286,4.428571428571429,4.833333333333333,54
New Zealand,4.611111111111111,4.833333333333333,4.615384615384615,4.833333333333333,4.75,36
Poland,4.6,4.142857142857143,4.285714285714286,4.428571428571429,5.0,30
Ireland,4.599221789883268,4.3061224489795915,4.705882352941177,4.5625,4.684210526315789,257
Thailand,4.583333333333333,4.0,5.0,4.5,,12
Spain,4.579710144927536,4.076923076923077,4.384615384615385,4.5,5.0,69
France,4.557377049180328,4.0625,4.59375,4.4375,4.466666666666667,122
Singapore,4.551724137931035,4.25,4.625,4.25,5.0,58
Argentina,4.545454545454546,4.75,5.0,5.0,5.0,11
The Netherlands,4.543478260869565,4.25,4.6,4.2,5.0,92
India,4.533333333333333,4.454545454545454,4.454545454545454,4.636363636363637,5.0,45
Switzerland,4.507692307692308,4.166666666666667,4.833333333333333,4.722222222222222,5.0,65
South Africa,4.5,4.571428571428571,5.0,4.785714285714286,5.0,40
Finland,4.402597402597403,4.214285714285714,4.642857142857143,4.346153846153846,4.75,77
Sweden,4.4,4.222222222222222,4.444444444444445,4.0,4.5,65
Denmark,4.37037037037037,4.125,4.5,4.5,,27
Greece,4.325,4.4,5.0,4.7,5.0,40
Israel,4.3,5.0,5.0,5.0,5.0,10
Cyprus,4.2727272727272725,3.8333333333333335,4.5,4.4,,11
Hungary,4.083333333333333,5.0,5.0,5.0,,12
