Kategorija,Metrika,Vrijednost,Analiza,Akcija
"Ukupna Prisutnost","Ukupan broj recenzija na Dianping-u",566,"Solidna prisutnost sa 566+ recenzija pokazuje da kineski turisti već posjećuju restorane","Iskoristiti existing momentum za brand building"
"Popularnost Ranking","#1 Najpopularniji restoran",Panorama (224 recenzije),"Panorama dominira sa 40% svih recenzija - clear favorite među kineskim gostima","Maintain leadership position, showcase success stories"
"Popularnost Ranking","#2 Po popularnosti",Arsenal (189 recenzija),"Arsenal ima 33% market share - premium positioning radi ali ima prostora za rast","Increase engagement, target VIP segment more aggressively"
"Popularnost Ranking","#3 Po popularnosti",Dubravka (153 recenzije),"Dubravka sa 27% - dobra pozicija za budget segment","Optimize for value seekers, expand youth marketing"
"Pricing Insights","Prosječna cijena (Yuan)",¥264,"Prosječna cijena od €34 je u middle-to-premium rangu za kineske turiste","Sweet spot za kvalitetu; održati consistent value delivery"
"Pricing Insights","Prosječna cijena (EUR)",€34,"Cijena konkurentna za Dubrovnik ali premium za kineske standarde","Balance quality perception sa value for money messaging"
"Pricing Insights","Price range spread",€10 (€30-€40),"Mala razlika između najjeftinijeg i najskupljeg omogućava segmentaciju","Kreirati tiered offerings za različite budžete"
"Market Gap","Restoran bez Dianping prisutnosti",Nautika,"Nautika POTPUNO nedostaje - izgubljeno tržište i recenzije","URGENT: Kreirati profil i capture ultra-premium segment"
"Competitive Position","Konkurenti na Dianping-u","Fish Restaurant Proto: 37 recenzija, ¥288","Vaši restorani daleko ispred Proto (566 vs 37) - clear market leaders","Leverage leadership position u marketing materijalima"
"Price-Popularity Korelacija","Obrnuta korelacija cijene i popularnosti","Viša cijena = manje recenzija","Kineski turisti preferiraju value for money; premium restorani trebaju drugačiji approach","Arsenal i Nautika: VIP marketing, ne mass market"
"Volume Opportunity","Ukupno dostupnih recenzija za scraping",566+,"Sve recenzije sadrže valuable insights o kineskim preferencijama","Scrape ALL reviews, analyze patterns, optimize accordingly"
"Response Rate","Trenutna stopa odgovora vlasnika","Nepoznato (treba provjeriti)","Response rate kritičan za trust building na Dianping platformi","Target: 80%+ response rate na recenzije"
"Geographic Coverage","Dianping coverage za Dubrovnik","Limitirana (mali broj restorana)","Dubrovnik još nije major destination na Dianping-u - early mover advantage","Be among top 3 restaurants in Dubrovnik na Dianping"
"Growth Potential","Rast kineskog turizma u Hrvatsku","Očekivani rast post-COVID","Kina ponovno otvara turizam; Hrvatska popularna destinacija","Prepare infrastructure SADA za incoming wave"
"Content Gap","Kineske fotografije jela","Nepoznato (treba provjeriti)","Kineski gosti dijele fotografije - important for social proof","Encourage photo sharing, feature best photos na profilu"
"Seasonal Patterns","Sezonalnost recenzija","Nepoznato (treba analizirati)","Recenzije vjerojatno peak tijekom summer season","Analyze review timing za off-season promotions"
"Rating Distribution","Prosječni rating","Nepoznato (treba izvući podatke)","Rating distribution pokazuje satisfaction levels","Extract ratings, address low-rating complaints"
"Review Sentiment","Sentiment breakdown","Nepoznato (treba NLP analiza)","Positive/negative themes identificiraju strengths/weaknesses","Conduct sentiment analysis na scraped data"
"Review Length","Prosječna dužina recenzije","Nepoznato (treba izvući podatke)","Duže recenzije = engaged customers sa više insights","Analyze detail level, respond to detailed reviews first"
"Photo Engagement","Broj fotografija u recenzijama","Nepoznato (treba izvući podatke)","Više fotografija = veći engagement i social proof","Count photos, showcase restaurants as photogenic"