country_normalized,sentiment_score,positive_words,negative_words,count
Argentina,0.9134199134199134,2.909090909090909,0.18181818181818182,11
Slovenia,0.8928571428571429,3.0,0.3,10
Serbia,0.8676870748299319,2.857142857142857,0.2857142857142857,14
SP,0.837037037037037,2.5555555555555554,0.3888888888888889,18
Portugal,0.8343137254901961,2.9411764705882355,0.2647058823529412,34
Czech Republic,0.8333333333333333,2.8823529411764706,0.29411764705882354,17
TÃ¼rkiye,0.8300000000000001,2.5,0.4,10
District of Columbia,0.8238095238095238,2.892857142857143,0.35714285714285715,28
Romania,0.8155496766607877,3.1481481481481484,0.37037037037037035,27
Belgium,0.8152777777777778,2.875,0.2708333333333333,48
Israel,0.8099999999999999,3.5,0.3,10
Japan,0.7999999999999999,3.2857142857142856,0.42857142857142855,14
Germany,0.7960191197691198,3.4625,0.5125,80
Unknown,0.7909230743985541,3.525230987917555,0.42667614309405355,4221
Croatia,0.7903484765553732,3.293103448275862,0.4540229885057471,174
China,0.7817866161616162,3.125,0.4791666666666667,48
Thailand,0.7777777777777778,2.9166666666666665,0.5,12
Poland,0.7682539682539683,2.8666666666666667,0.4666666666666667,30
South Korea,0.7615384615384616,2.6923076923076925,0.46153846153846156,13
Canada,0.7537174047075037,3.6930693069306932,0.5445544554455446,202
USA,0.7446908503519446,3.477203647416413,0.5129179331306991,1316
Sweden,0.7439560439560439,2.6923076923076925,0.49230769230769234,65
Singapore,0.7405172413793104,2.9310344827586206,0.5,58
South Africa,0.7369444444444444,3.35,0.375,40
United Kingdom,0.7324031546301812,3.7339017935901206,0.5983534254630991,3401
Ireland,0.7304821097622654,3.5719844357976656,0.5719844357976653,257
United Arab Emirates,0.7256991685563113,3.7142857142857144,0.5952380952380952,42
United States,0.7228937728937729,3.769230769230769,0.5769230769230769,26
Australia,0.7209949794614332,3.584664536741214,0.5878594249201278,313
India,0.7196296296296296,3.088888888888889,0.4888888888888889,45
Finland,0.7187280972995258,3.116883116883117,0.5844155844155844,77
France,0.7123731459797034,3.139344262295082,0.5245901639344263,122
The Netherlands,0.7096704623878537,3.25,0.44565217391304346,92
Lebanon,0.7074074074074074,3.0416666666666665,0.5416666666666666,24
New Zealand,0.7041666666666667,3.138888888888889,0.4166666666666667,36
Malaysia,0.7033333333333334,2.6,0.5,10
Denmark,0.701058201058201,3.185185185185185,0.6296296296296297,27
Norway,0.6961545729402873,3.4047619047619047,0.7023809523809523,84
Italy,0.6771284271284271,3.1481481481481484,0.7222222222222222,54
Mexico,0.675,2.9375,0.5,16
Spain,0.674120082815735,2.9420289855072466,0.5797101449275363,69
Austria,0.6680555555555556,3.2083333333333335,0.5416666666666666,24
Switzerland,0.6679853479853479,3.4153846153846152,0.6,65
England,0.6541666666666667,4.4375,0.625,16
Greece,0.6386904761904761,2.725,0.575,40
UK,0.6378394332939787,4.363636363636363,0.6363636363636364,22
Hungary,0.4611111111111111,2.3333333333333335,0.5833333333333334,12
Cyprus,0.3727272727272727,1.9090909090909092,0.5454545454545454,11
