initiative,tier,timeline,investment_eur,expected_roi,difficulty,priority,platform,action_required,korean_term,status,kpi_metric,target_value,responsible_party,dependencies,notes
Instagram Korean Hashtags,Tier 1,Week 1,0,Immediate,Low,URGENT,Instagram,Add Korean hashtags to all posts,#두브로브니크 #크로아티아,Not Started,Korean follower growth,+500 in 6mo,Internal Marketing,None,Zero cost quick win
Kakao Map Listing,Tier 1,30-60 days,1500-2500,3-4x in 12mo,Medium,URGENT,Kakao Map,Partner with Korean agency for listing,카카오맵,Not Started,Profile views/month,500+,Korean Agency,Agency Selection,Critical for navigation
Micro-Influencer Campaign,Tier 1,Month 2-3,2000-4000,3-5x in 9mo,Medium,HIGH,Instagram/Naver,Identify and invite 3-5 influencers,인플루언서,Not Started,Attributed bookings,30+ in 6mo,Marketing Manager,Instagram presence,Cost-effective authentic marketing
Korean Menu Translation,Tier 1,Week 2-3,200-500,Immediate,Low,MEDIUM,Physical Menu,Hire translator for menu highlights,메뉴 번역,Not Started,Menu completeness,Top 15 dishes,Translator Hire,Translator Selection,Improves guest experience
Instagram Captions Korean,Tier 1,Ongoing,300-500/mo,2-3x in 6mo,Low,HIGH,Instagram,Bilingual captions for posts,이중언어 캡션,Not Started,Engagement rate,>5% on Korean posts,Content Manager,Translator Hire,Builds Korean audience
KakaoTalk Business Account,Tier 2,60-90 days,1500-2500,2-3x in 12mo,Medium,MEDIUM,KakaoTalk,Setup Plus Friend business account,카카오톡 플러스친구,Not Started,Inquiries via platform,50+ in 6mo,Korean Agency,Kakao Map Setup,Direct messaging channel
Naver Blog Creation,Tier 2,Month 4-6,1000-2000,4-5x in 12mo,Medium-High,MEDIUM,Naver Blog,Create blog and publish 2-3x/month,네이버 블로그,Not Started,Monthly blog views,1000+ by Month 6,Korean Agency,Agency Partnership,Primary Korean research platform
Naver Paid Advertising,Tier 2,Month 6+,3000-5000 setup,3-4x in 12mo,High,LOW,Naver Ads,Setup Powerlink and display ads,네이버 광고,Not Started,Click-through rate,2-4%,Korean Agency,Naver Blog + Budget,Requires significant investment
Instagram Ads Korea,Tier 2,Month 4,500-2000/mo,2-3x,Low,MEDIUM,Instagram,Target Korean demographic with paid ads,인스타그램 광고,Not Started,Cost per reservation,<50 EUR,Internal Marketing,Credit Card,Self-service platform
Korean Welcome Materials,Tier 1,Week 3,100-200,Immediate,Low,MEDIUM,Physical,Create Korean language welcome note,환영 메시지,Not Started,Guest satisfaction,100% use,Designer + Translator,Translation Done,Small touch with big impact
Staff Korean Training,Tier 1,Month 2,500-1000,Long-term,Low,MEDIUM,Internal,Basic Korean phrases and culture training,직원 교육,Not Started,Staff confidence,All trained,HR/Training Manager,Training Materials,Improves service quality
YouTuber Partnerships,Tier 3,Month 7-12,3000-6000,5-7x over 24mo,Medium,MEDIUM,YouTube,Invite Korean travel YouTubers,유튜버 협업,Not Started,Video views,50K-500K per video,Marketing Manager,Existing content base,Long-tail SEO benefit
Travel Agency B2B,Tier 3,Month 7-12,2000-4000,4-6x in 18mo,High,LOW,B2B Partnership,Partner with Hanatour and others,여행사 제휴,Not Started,Group bookings,5+ per season,BD Manager,Croatian Tourism Board,Tour operator partnerships
Korean Air Partnership,Tier 3,Month 12+,1000-3000,3-4x in 24mo,High,LOW,Airline Marketing,In-flight magazine or partnership,대한항공 제휴,Not Started,Airline passenger bookings,20+ annually,BD Manager,Established brand,Premium brand association
Monitoring Korean Hashtags,Tier 1,Daily,0,Immediate,Low,HIGH,Instagram,Daily monitoring and engagement 15min,해시태그 모니터링,Not Started,Daily engagement,5-10 interactions/day,Social Media Manager,None,Community building
User Generated Content,Tier 1,Ongoing,0,Immediate,Low,MEDIUM,Instagram,Repost Korean guest content with credit,사용자 제작 콘텐츠,Not Started,Reposts per month,5-10,Social Media Manager,Guest Permission,Free authentic content
Korean Guest Survey,Tier 1,Month 2,50-100,Data-driven,Low,MEDIUM,Reservation System,How did you hear about us survey,고객 설문조사,Not Started,Response rate,>50%,Front of House,Survey Design,Attribution tracking
Reservation System Tags,Tier 1,Week 4,0-500,Data-driven,Low,HIGH,POS/Reservation,Add Source and Market fields,예약 시스템 태그,Not Started,Data completeness,100% tagged,IT/Operations,System Access,Critical for ROI tracking
Korean Promo Codes,Tier 1,Month 2,0,Attribution,Low,MEDIUM,Reservation System,Platform-specific promo codes,프로모션 코드,Not Started,Code usage tracking,Per platform,Marketing Manager,Reservation Tags,Track channel effectiveness
Analytics Dashboard,Tier 1,Month 3,500-1000,Data-driven,Medium,MEDIUM,Reporting,Monthly Korean market KPI dashboard,분석 대시보드,Not Started,Monthly reporting,100% on-time,Data Analyst,All tracking systems,Measure success
Korean Photo Spots,Tier 1,Week 2,0-200,Immediate,Low,LOW,Physical Space,Identify and promote best photo locations,포토 스팟,Not Started,Social shares from spots,>50% guests,Operations,None,Enhance Instagram appeal
Sunset Timing Guide,Tier 1,Week 1,0,Immediate,Low,LOW,Website/Materials,Provide sunset times for reservation planning,일몰 시간 안내,Not Started,Guest utilization,Shared with all Korean guests,Front of House,Research Done,Key for golden hour photos
Korean Language Website,Tier 2,Month 6+,2000-5000,Long-term,Medium,LOW,Website,Korean language version of website,한국어 웹사이트,Not Started,Korean website traffic,1000+ visits/mo,Web Developer,Translation Complete,Long-term investment
Payment Options Korean,Tier 3,Month 12+,1000-3000,Convenience,Medium,LOW,Payment Systems,Consider Naver Pay or Kakao Pay,네이버페이/카카오페이,Not Started,Korean payment usage,10% of Korean guests,Finance/IT,Volume Justification,Nice-to-have not critical
Korean Guest Loyalty,Tier 2,Month 6,500-1000,Long-term,Low,LOW,CRM,Email list and repeat guest program,고객 로열티,Not Started,Repeat rate,15-20%,CRM Manager,Email Collection,Build community
Agency Partner Selection,Tier 1,Week 3-4,0,Foundation,Medium,URGENT,Partnership,Research and select Korean agency,에이전시 파트너,Not Started,Partner selected,By Week 4,Management,Budget Approval,Critical for platform access
Budget Allocation,Tier 1,Week 1,0,Foundation,Low,URGENT,Finance,Allocate 4000-7500 EUR for Tier 1,예산 배정,Not Started,Budget approved,100%,CFO/Owner,Management Approval,Gate for implementation
Project Owner Assignment,Tier 1,Week 1,0,Foundation,Low,URGENT,Internal,Assign dedicated project manager,프로젝트 책임자,Not Started,Owner assigned,1 person,Management,None,Accountable party
Monthly Review Meeting,Tier 1,Ongoing,0,Optimization,Low,HIGH,Internal,Monthly KPI review and strategy adjustment,월간 리뷰 회의,Not Started,Meeting held,100% monthly,Project Owner,Dashboard Live,Continuous improvement
Competitor Monitoring,Tier 1,Ongoing,0,Intelligence,Low,MEDIUM,Research,Monitor competitors Korean initiatives,경쟁사 모니터링,Not Started,Competitive intel,Monthly updates,Marketing Analyst,None,Stay ahead of curve
Cultural Training Staff,Tier 1,Month 2,500-1000,Service Quality,Low,MEDIUM,HR,Korean culture and service expectations,문화 교육,Not Started,Staff trained,100%,HR Manager,Training Materials,Better guest experience
Korean Reservation Flow,Tier 2,Month 3,200-500,Conversion,Low,MEDIUM,Operations,Optimize reservation process for Koreans,예약 프로세스,Not Started,Korean conversion rate,>60%,Operations Manager,System Tags,Reduce friction
First Mover Speed,Tier 1,ASAP,0,Strategic,High,URGENT,Strategy,Launch before competitors enter market,선점 전략,Not Started,Market entry timing,Within 60 days,Management,Budget Approval,Window closing in 12-18mo
